"America East",albany-ny,mass-lowell,vermont,hartford,new-hampshire,umbc,binghamton,maine,stony-brook,,,,,,
"American Athletic Conference",cincinnati,uconn,smu,temple,tulane,ucf,wichita-st,houston,east-carolina,memphis,south-fla,tulsa,,,
"Atlantic 10",davidson,saint-louis,duquesne,massachusetts,rhode-island,saint-josephs,st-bonaventure,george-mason,la-salle,vcu,dayton,george-washington,richmond,fordham,
"Atlantic Coast",duke,florida-st,louisville,miami-fl,north-carolina,north-carolina-st,notre-dame,syracuse,virginia,boston-college,clemson,virginia-tech,georgia-tech,pittsburgh,wake-forest
"Atlantic Sun",fgcu,lipscomb,stetson,sc-upstate,njit,jacksonville,kennesaw-st,north-florida,,,,,,,
"Big 12",baylor,kansas,kansas-st,oklahoma,tcu,texas,texas-tech,oklahoma-st,west-virginia,iowa-st,,,,,
"Big East",creighton,georgetown,seton-hall,st-johns-ny,villanova,xavier,butler,providence,marquette,depaul,,,,,
"Big Sky",portland-st,montana,idaho,montana-st,weber-st,north-dakota,eastern-wash,northern-colo,sacramento-st,southern-utah,idaho-st,northern-ariz,,,
"Big South",radford,charleston-so,liberty,campbell,unc-asheville,winthrop,gardner-webb,high-point,presbyterian,longwood,,,,,
"Big Ten",illinois,maryland,minnesota,ohio-st,purdue,rutgers,penn-st,michigan,nebraska,michigan-st,iowa,northwestern,indiana,wisconsin,
"Big West",hawaii,uc-davis,cal-poly,long-beach-st,uc-santa-barbara,uc-irvine,cal-st-fullerton,uc-riverside,cal-st-northridge,,,,,,
"Colonial Athletic",towson,col-of-charleston,unc-wilmington,delaware,hofstra,elon,northeastern,william-mary,drexel,james-madison,,,,,
"Conference USA",louisiana-tech,old-dominion,middle-tenn,southern-miss,western-ky,uab,utsa,charlotte,fla-atlantic,marshall,north-texas,fiu,rice,utep,
Horizon,milwaukee,northern-ky,detroit,ill-chicago,oakland,youngstown-st,green-bay,iupui,cleveland-st,wright-st,,,,,
"Ivy League",brown,penn,dartmouth,harvard,yale,columbia,cornell,princeton,,,,,,,
"Metro Atlantic Athletic",rider,fairfield,manhattan,monmouth,canisius,niagara,saint-peters,iona,quinnipiac,marist,siena,,,,
Mid-American,akron,eastern-mich,kent-st,toledo,bowling-green,buffalo,miami-oh,central-mich,northern-ill,ohio,western-mich,ball-st,,,
Mid-Eastern,nc-at,morgan-st,nc-central,savannah-st,bethune-cookman,umes,delaware-st,florida-am,hampton,coppin-st,howard,norfolk-st,south-carolina-st,,
"Missouri Valley",evansville,loyola-chicago,valparaiso,bradley,drake,uni,southern-ill,missouri-st,illinois-st,indiana-st,,,,,
"Mountain West",air-force,nevada,unlv,wyoming,boise-st,san-diego-st,fresno-st,new-mexico,colorado-st,utah-st,san-jose-st,,,,
Northeast,wagner,fairleigh-dickinson,saint-francis-pa,central-conn-st,liu-brooklyn,st-francis-brooklyn,mt-st-marys,robert-morris,sacred-heart,bryant,,,,,
"Ohio Valley",belmont,jacksonville-st,tennessee-tech,murray-st,eastern-ky,southeast-mo-st,morehead-st,siu-edwardsville,tennessee-st,austin-peay,eastern-ill,ut-martin,,,
Pac-12,arizona,arizona-st,colorado,oregon,southern-california,utah,washington-st,ucla,oregon-st,stanford,washington,california,,,
"Patriot League",army,lehigh,colgate,holy-cross,navy,loyola-maryland,bucknell,american,boston-u,lafayette,,,,,
Southeastern,alabama,arkansas,florida,georgia,lsu,mississippi-st,tennessee,texas-am,kentucky,south-carolina,auburn,missouri,ole-miss,vanderbilt,
Southern,unc-greensboro,mercer,citadel,wofford,chattanooga,east-tenn-st,furman,vmi,samford,western-caro,,,,,
Southland,incarnate-word,stephen-f-austin,lamar,sam-houston-st,abilene-christian,central-ark,nicholls-st,mcneese-st,southeastern-la,am-corpus-chris,houston-baptist,new-orleans,northwestern-st,,
"Southwestern Athletic",jackson-st,prairie-view,alabama-am,alabama-st,alcorn,ark-pine-bluff,grambling,mississippi-val,southern-u,texas-southern,,,,,
"Summit League",western-ill,south-dakota,ipfw,south-dakota-st,denver,north-dakota-st,oral-roberts,neb-omaha,,,,,,,
"Sun Belt",ga-southern,texas-arlington,georgia-st,appalachian-st,coastal-caro,la-lafayette,south-ala,arkansas-st,troy,la-monroe,texas-st,ualr,,,
"West Coast",gonzaga,st-marys-ca,san-diego,byu,loyola-marymount,portland,san-francisco,santa-clara,pepperdine,pacific,,,,,
"Western Athletic",grand-canyon,new-mexico-st,utrgv,utah-valley,bakersfield,seattle,umkc,chicago-st,,,,,,,
