ACC,boston-college
ACC,clemson
ACC,duke
ACC,florida-state
ACC,georgia-tech
ACC,louisville
ACC,miami-fl
ACC,north-carolina
ACC,north-carolina-state
ACC,pittsburgh
ACC,syracuse
ACC,virginia
ACC,virginia-tech
ACC,wake-forest
Big 12,baylor
Big 12,iowa-state
Big 12,kansas
Big 12,kansas-state
Big 12,oklahoma
Big 12,oklahoma-state
Big 12,tcu
Big 12,texas
Big 12,texas-tech
Big 12,west-virginia
Big Ten,illinois
Big Ten,indiana
Big Ten,iowa
Big Ten,maryland
Big Ten,michigan
Big Ten,michigan-state
Big Ten,minnesota
Big Ten,nebraska
Big Ten,northwestern
Big Ten,ohio-state
Big Ten,penn-state
Big Ten,purdue
Big Ten,rutgers
Big Ten,wisconsin
Conference USA,fiu
Conference USA,florida-atlantic
Conference USA,louisiana-tech
Conference USA,marshall
Conference USA,middle-tennessee
Conference USA,north-texas
Conference USA,old-dominion
Conference USA,rice
Conference USA,southern-miss
Conference USA,utep
Conference USA,utsa
Conference USA,western-kentucky
Division I FBS Independents,army
Division I FBS Independents,ua-birmingham
Division I FBS Independents,brigham-young
Division I FBS Independents,charlotte
Division I FBS Independents,notre-dame
Mid-American,akron
Mid-American,ball-state
Mid-American,bowling-green
Mid-American,buffalo
Mid-American,central-michigan
Mid-American,eastern-michigan
Mid-American,kent-state
Mid-American,massachusetts
Mid-American,miami-ohio
Mid-American,northern-illinois
Mid-American,ohio
Mid-American,toledo
Mid-American,western-michigan
Mountain West,air-force
Mountain West,boise-state
Mountain West,colorado-state
Mountain West,fresno-state
Mountain West,hawaii
Mountain West,nevada
Mountain West,new-mexico
Mountain West,san-diego-state
Mountain West,san-jose-state
Mountain West,unlv
Mountain West,utah-state
Mountain West,wyoming
Pac-12,arizona
Pac-12,arizona-state
Pac-12,california
Pac-12,colorado
Pac-12,oregon
Pac-12,oregon-state
Pac-12,stanford
Pac-12,ucla
Pac-12,usc
Pac-12,utah
Pac-12,washington
Pac-12,washington-state
SEC,alabama
SEC,arkansas
SEC,auburn
SEC,florida
SEC,georgia
SEC,kentucky
SEC,lsu
SEC,mississippi
SEC,mississippi-state
SEC,missouri
SEC,south-carolina
SEC,tennessee
SEC,texas-am
SEC,vanderbilt
Sun Belt,appalachian-state
Sun Belt,arkansas-state
Sun Belt,coastal-carolina
Sun Belt,georgia-southern
Sun Belt,georgia-state
Sun Belt,idaho
Sun Belt,louisiana-lafayette
Sun Belt,new-mexico-state
Sun Belt,louisiana-monroe
Sun Belt,south-alabama
Sun Belt,texas-state
Sun Belt,troy
The American,cincinnati
The American,connecticut
The American,east-carolina
The American,houston
The American,navy
The American,memphis
The American,southern-methodist
The American,south-florida
The American,tulane
The American,temple
The American,tulsa
The American,ucf
FCS Teams,north-dakota-state
