Altuve,Altuve,Altuve,Altuve,Altuve,Altuve,Altuve,Altuve,Altuve,Altuve,Altuve,Altuve,Ramirez,Judge,Altuve,Altuve,Altuve,Altuve,Altuve,Altuve,Altuve,Altuve,Altuve,Altuve,Altuve,Altuve,Altuve,Altuve,Judge,Altuve
Judge,Judge,Judge,Judge,Judge,Judge,Judge,Judge,Judge,Judge,Judge,Judge,Altuve,Altuve,Judge,Judge,Judge,Judge,Judge,Judge,Judge,Judge,Judge,Judge,Judge,Judge,Judge,Judge,Altuve,Judge
Ramirez,Ramirez,Ramirez,Kluber,Ramirez,Ramirez,Ramirez,Ramirez,Ramirez,Ramirez,Trout,Ramirez,Judge,Ramirez,Ramirez,Trout,Trout,Ramirez,Ramirez,Ramirez,Trout,Trout,Ramirez,Ramirez,Ramirez,Ramirez,Ramirez,Trout,Ramirez,Ramirez
Trout,Trout,Lindor,Trout,Betts,Trout,Lindor,Trout,Trout,Lindor,Ramirez,Trout,Trout,Trout,Trout,Ramirez,Ramirez,Trout,Lindor,Trout,Ramirez,Ramirez,Trout,Trout,Trout,Trout,Trout,Ramirez,Betts,Trout
Lindor,Lindor,Dozier,Simmons,Lindor,Kluber,Trout,Kluber,Lindor,Trout,Kluber,Betts,Lindor,Lindor,Betts,Lindor,Betts,Lindor,Betts,Lindor,Betts,Lindor,Lindor,Betts,Lindor,Cruz,Cruz,Sale,Trout,Kluber
Simmons,Dozier,Kluber,Ramirez,Simmons,Lindor,Betts,Sale,Betts,Kluber,Betts,Lindor,Kluber,Betts,Simmons,Schoop,Lindor,Sale,Cruz,Betts,Kluber,Betts,Kluber,Kluber,Betts,Schoop,Abreu,Kluber,Lindor,Sale
Cruz,Kluber,Sale,Betts,Sale,Sale,Upton,Lindor,Springer,Sale,Lindor,Kluber,Hosmer,Buxton,Kluber,Simmons,Abreu,Kluber,Encarnacion,Springer,Correa,Kluber,Simmons,Lindor,Cruz,Simmons,Sale,Cruz,Dozier,Lindor
Schoop,Springer,Abreu,Sale,Kluber,Betts,Dozier,Betts,Simmons,Hosmer,Cruz,Springer,Sale,Upton,Lindor,Betts,Dozier,Dozier,Gregorius,Schoop,Simmons,Upton,Betts,Sale,Simmons,Kluber,Kluber,Betts,Hosmer,Betts
Betts,Sale,Hosmer,Lindor,Trout,Simmons,Simmons,Springer,Upton,Simmons,Simmons,Simmons,Simmons,Simmons,Sale,Cruz,Cruz,Gonzalez,Trout,Cruz,Buxton,Cruz,Sale,Simmons,Kluber,Abreu,Gonzalez,Lindor,Kluber,Correa
Correa,Simmons,Trout,Gregorius,Correa,Abreu,Springer,Simmons,Kluber,Buxton,Gonzalez,Cruz,Betts,Hosmer,Correa,Gonzalez,Hosmer,Sanchez,Hosmer,Abreu,Cruz,Schoop,Cruz,Cruz,Dozier,Hosmer,Schoop,Schoop,Davis,Donaldson
